Country,Year,AverageTemperature
New Zealand,1853,12.493789473684211
New Zealand,1854,13.849416666666668
New Zealand,1855,13.946041666666666
New Zealand,1856,13.185
New Zealand,1857,13.139833333333334
New Zealand,1858,13.211500000000001
New Zealand,1859,14.022217391304347
New Zealand,1860,14.471499999999999
New Zealand,1861,14.96491304347826
New Zealand,1862,14.495739130434782
New Zealand,1863,13.467875
New Zealand,1864,15.004624999999999
New Zealand,1865,14.301916666666665
New Zealand,1866,15.218708333333334
New Zealand,1867,14.588833333333334
New Zealand,1868,13.746041666666665
New Zealand,1869,14.08375
New Zealand,1870,14.277041666666667
New Zealand,1871,13.87395652173913
New Zealand,1872,14.734166666666667
New Zealand,1873,14.314541666666665
New Zealand,1874,14.251416666666666
New Zealand,1875,14.158043478260868
New Zealand,1876,14.672125000000001
New Zealand,1877,14.041041666666667
New Zealand,1878,14.155499999999998
New Zealand,1879,14.157333333333334
New Zealand,1880,14.657958333333333
New Zealand,1881,14.421166666666666
New Zealand,1882,14.352869565217391
New Zealand,1883,14.097500000000002
New Zealand,1884,13.335041666666667
New Zealand,1885,13.7665
New Zealand,1886,14.01925
New Zealand,1887,14.252749999999999
New Zealand,1888,13.460041666666667
New Zealand,1889,14.276458333333332
New Zealand,1890,14.332041666666667
New Zealand,1891,13.857545454545454
New Zealand,1892,14.628173913043478
New Zealand,1893,14.696916666666667
New Zealand,1894,14.326041666666667
New Zealand,1895,13.986125000000001
New Zealand,1896,14.469636363636363
New Zealand,1897,14.266666666666666
New Zealand,1898,14.051
New Zealand,1899,14.046208333333333
New Zealand,1900,14.363041666666668
New Zealand,1901,13.944875000000001
New Zealand,1902,13.467166666666666
New Zealand,1903,14.075208333333334
New Zealand,1904,13.654416666666668
New Zealand,1905,13.892708333333333
New Zealand,1906,13.54986956521739
New Zealand,1907,14.470416666666667
New Zealand,1908,14.093291666666666
New Zealand,1909,14.66075
New Zealand,1910,14.732217391304347
New Zealand,1911,14.334958333333333
New Zealand,1912,13.784041666666667
New Zealand,1913,14.180708333333333
New Zealand,1914,14.247521739130434
New Zealand,1915,14.521708333333335
New Zealand,1916,15.066608695652173
New Zealand,1917,14.5775
New Zealand,1918,14.102375
New Zealand,1919,13.828458333333332
New Zealand,1920,14.096083333333333
New Zealand,1921,14.391666666666667
New Zealand,1922,14.478521739130434
New Zealand,1923,14.121041666666665
New Zealand,1924,14.835041666666667
New Zealand,1925,14.004374999999998
New Zealand,1926,14.149625
New Zealand,1927,14.246708333333332
New Zealand,1928,15.202565217391305
New Zealand,1929,14.528583333333332
New Zealand,1930,13.886041666666666
New Zealand,1931,14.125208333333333
New Zealand,1932,14.277166666666666
New Zealand,1933,14.707500000000001
New Zealand,1934,14.563541666666667
New Zealand,1935,14.949458333333334
New Zealand,1936,14.355083333333333
New Zealand,1937,14.44208695652174
New Zealand,1938,15.544541666666666
New Zealand,1939,14.255708333333333
New Zealand,1940,14.133125
New Zealand,1941,14.329333333333333
New Zealand,1942,14.929
New Zealand,1943,14.509125
New Zealand,1944,14.497250000000001
New Zealand,1945,14.1845
New Zealand,1946,14.726750000000001
New Zealand,1947,14.484208333333333
New Zealand,1948,15.024041666666667
New Zealand,1949,14.657416666666668
New Zealand,1950,15.061625
New Zealand,1951,14.284291666666666
New Zealand,1952,14.561291666666667
New Zealand,1953,14.742166666666668
New Zealand,1954,14.944458333333332
New Zealand,1955,15.303869565217394
New Zealand,1956,15.465739130434782
New Zealand,1957,14.831541666666666
New Zealand,1958,15.083458333333333
New Zealand,1959,14.675458333333333
New Zealand,1960,14.706130434782608
New Zealand,1961,14.745624999999999
New Zealand,1962,15.305260869565219
New Zealand,1963,14.60191304347826
New Zealand,1964,14.542708333333332
New Zealand,1965,14.165750000000001
New Zealand,1966,14.492833333333335
New Zealand,1967,14.732291666666667
New Zealand,1968,14.610750000000001
New Zealand,1969,14.395416666666668
New Zealand,1970,15.374791666666667
New Zealand,1971,15.338916666666668
New Zealand,1972,14.751416666666666
New Zealand,1973,15.296416666666667
New Zealand,1974,15.461291666666668
New Zealand,1975,15.201374999999999
New Zealand,1976,14.276347826086957
New Zealand,1977,14.233041666666665
New Zealand,1978,15.015875
New Zealand,1979,15.118958333333333
New Zealand,1980,14.624250000000002
New Zealand,1981,15.272916666666667
New Zealand,1982,14.436666666666667
New Zealand,1983,14.553791666666667
New Zealand,1984,15.008375000000001
New Zealand,1985,14.982625
New Zealand,1986,14.963291666666668
New Zealand,1987,15.026458333333332
New Zealand,1988,15.450833333333334
New Zealand,1989,15.279173913043477
New Zealand,1990,15.571416666666666
New Zealand,1991,14.817875
New Zealand,1992,14.258333333333333
New Zealand,1993,14.279458333333332
New Zealand,1994,14.720083333333333
New Zealand,1995,15.292458333333334
New Zealand,1996,15.067541666666665
New Zealand,1997,14.689875
New Zealand,1998,16.081166666666665
New Zealand,1999,15.649833333333333
New Zealand,2000,15.329708333333334
New Zealand,2001,15.402916666666668
New Zealand,2002,15.071666666666667
New Zealand,2003,15.122291666666667
New Zealand,2004,14.577
New Zealand,2005,15.548875
New Zealand,2006,14.909875
New Zealand,2007,15.335291666666668
New Zealand,2008,15.552000000000001
New Zealand,2009,14.897541666666667
New Zealand,2010,15.551666666666668
New Zealand,2011,15.523249999999999
New Zealand,2012,14.69295652173913
New Zealand,2013,15.807400000000001
